;2014;2014;2015;2015;2016;2016;2017;2017;2018;2018;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023
Art des Gutes;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern;Empfang von Gütern;Versand von Gütern
Einheit;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t
  Container und Wechselbehälter im Einsatz, leer;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
  Paletten u.a. Verpackungsmaterial im Einsatz, leer;119641;105715;97489;88933;42124;52912;45075;37544;61142;36005;47355;47354;37539;37539;34952;35816;54204;55496;34799;37436
Umzugsgut und sonstige nichtmarktbestimmte Güter;111777;57001;93826;50797;14335;19044;16903;20498;11444;13581;14;451;25;25;67;67;2492;34;292;292
  Privates Umzugsgut;106856;52767;90747;47698;11352;16173;13456;17148;5052;7457;14;14;25;25;16;16;34;34;39;39
  Von den Fahrgästen getrennt befördertes Gepäck;610;288;1;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
  Fahrzeuge in Reparatur;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
  Ausrüstungen, Gerüste;629;252;28;28;173;56;43;27;261;-;-;437;-;-;-;-;-;-;-;-
  Sonstige nichtmarktbestimmte Güter a.n.g.;3682;3694;3050;3061;2810;2815;3404;3323;6131;6124;-;-;-;-;51;51;2458;-;253;253
Sammelgut;528072;418071;650443;783141;547383;579745;284907;307267;957689;1462044;1086092;1298923;894009;911857;1010517;1153311;1086536;1146511;812497;971333
  Sammelgut;528072;418071;650443;783141;547383;579745;284907;307267;957689;1462044;1086092;1298923;894009;911857;1010517;1153311;1086536;1146511;812497;971333
Gutart unbekannt;26972077;30441870;25758433;29110690;34785374;40556694;34227003;40109687;37006925;42804192;39324101;44733732;41872680;45771936;41008080;45768089;37802237;43331680;34367970;39090197
  N.identifizierb.Güter i.Containern o.Wechselbeh.;14599403;14440489;12669803;13189801;21771408;27168300;20315518;25965793;23351709;28641406;25943988;30334899;29011414;31564417;25762405;29198111;22878233;26904570;20232492;23917107
  Sonstige nicht identifizierbare Güter;12372674;16001381;13088630;15920889;13013966;13388394;13911485;14143894;13655216;14162786;13380113;14398833;12861266;14207519;15245675;16569978;14924004;16427110;14135477;15173090
Sonstige Güter a.n.g.;-;-;-;-;178969;24875;53122;27468;36261;41314;151026;126286;151104;128560;222982;146601;344275;148617;98749;203979
  Sonstige Güter, anderweitig nicht klassifiziert;-;-;-;-;178969;24875;53122;27468;36261;41314;151026;126286;151104;128560;222982;146601;344275;148617;98749;203979
